Time	Combined adopter fraction[eu]	Adopter Fraction[eu,p1]	Adopter Fraction[eu,p2]	Adopter Fraction[sp,p1]	Adopter Fraction[sp,p2]
0	0	0	0	0	0
0.0625	0.0003125	0.0003125	0	0.0003125	0.0003125
0.125	0.000605538	0.00060552	1.85724e-008	0.000605501	0.000605501
0.1875	0.00119283	0.000880442	0.000312385	0.00119268	0.00119268
0.25	0.0017442	0.00113869	0.000605502	0.00174349	0.00174349
0.3125	0.00226242	0.0013816	0.000880812	0.00226053	0.00226053
0.375	0.0027502	0.00161052	0.00113968	0.00274628	0.00274628
0.4375	0.0032103	0.00182684	0.00138346	0.00320314	0.00320314
0.5	0.00364562	0.00203205	0.00161357	0.00363342	0.00363342
0.5625	0.00405928	0.00222779	0.00183149	0.00403941	0.00403941
0.625	0.00445465	0.00241582	0.00203883	0.00442332	0.00442332
0.6875	0.00483541	0.00259807	0.00223734	0.0047873	0.0047873
0.75	0.00520551	0.0027766	0.00242892	0.00513342	0.00513342
0.8125	0.00556918	0.0029536	0.00261558	0.00546369	0.00546369
0.875	0.0059308	0.00313133	0.00279947	0.00578002	0.00578002
0.9375	0.0062948	0.00331205	0.00298275	0.00608425	0.00608425
1	0.00666555	0.00349796	0.00316759	0.00637813	0.00637813
1.0625	0.00704722	0.00369115	0.00335607	0.00666336	0.00666336
1.125	0.00744367	0.00389353	0.00355014	0.00694157	0.00694157
1.1875	0.00785842	0.00410688	0.00375154	0.00721437	0.00721437
1.25	0.00829458	0.00433275	0.00396184	0.00748329	0.00748329
1.3125	0.00875494	0.00457256	0.00418238	0.00774986	0.00774986
1.375	0.00924192	0.00482757	0.00441435	0.00801556	0.00801556
1.4375	0.0097577	0.00509895	0.00465875	0.00828188	0.00828188
1.5	0.0103043	0.00538777	0.00491649	0.00855028	0.00855028
1.5625	0.0108835	0.00569507	0.0051884	0.00882222	0.00882222
1.625	0.0114971	0.00602185	0.00547526	0.00909918	0.00909918
1.6875	0.012147	0.00636916	0.00577787	0.00938264	0.00938264
1.75	0.0128351	0.00673806	0.00609702	0.00967411	0.00967411
1.8125	0.0135633	0.00712969	0.0064336	0.00997513	0.00997513
1.875	0.0143338	0.0075453	0.00678855	0.0102873	0.0102873
1.9375	0.0151491	0.00798623	0.00716292	0.0106122	0.0106122
2	0.0160119	0.008454	0.00755786	0.0109517	0.0109517
2.0625	0.0169249	0.00895028	0.00797467	0.0113075	0.0113075
2.125	0.0178917	0.00947694	0.0084148	0.0116816	0.0116816
2.1875	0.0189159	0.0100361	0.00887987	0.012076	0.012076
2.25	0.0200017	0.01063	0.00937166	0.0124929	0.0124929
2.3125	0.0211537	0.0112615	0.0098922	0.0129347	0.0129347
2.375	0.022377	0.0119333	0.0104437	0.0134042	0.0134042
2.4375	0.0236776	0.0126489	0.0110287	0.013904	0.013904
2.5	0.0250619	0.0134119	0.01165	0.0144374	0.0144374
2.5625	0.0265372	0.0142266	0.0123107	0.0150079	0.0150079
2.625	0.0281117	0.0150976	0.0130141	0.0156194	0.0156194
2.6875	0.0297945	0.0160302	0.0137643	0.016276	0.016276
2.75	0.0315959	0.0170303	0.0145655	0.0169828	0.0169828
2.8125	0.0335273	0.0181047	0.0154226	0.0177451	0.0177451
2.875	0.0356018	0.0192608	0.0163409	0.0185689	0.0185689
2.9375	0.0378337	0.0205071	0.0173266	0.0194613	0.0194613
3	0.0402397	0.0218533	0.0183864	0.0204298	0.0204298
3.0625	0.042838	0.0233101	0.0195279	0.0214835	0.0214835
3.125	0.0456495	0.0248898	0.0207598	0.0226322	0.0226322
3.1875	0.0486978	0.0266063	0.0220915	0.0238875	0.0238875
3.25	0.0520095	0.0284755	0.023534	0.0252624	0.0252624
3.3125	0.0556147	0.0305152	0.0250995	0.0267719	0.0267719
3.375	0.0595474	0.0327459	0.0268015	0.028433	0.028433
