Time	Combined adopter fraction[eu]	Adopter Fraction[eu,p1]	Adopter Fraction[eu,p2]	Adopter Fraction[sp,p1]	Adopter Fraction[sp,p2]
0	0	0	0	0	0
0.0625	0.0003125	0.0003125	0	0.0003125	0.0003125
0.125	0.000605538	0.00060552	1.85724e-008	0.000605501	0.000605501
0.1875	0.00119285	0.000880459	0.000312389	0.00119268	0.00119268
0.25	0.00174431	0.00113879	0.00060552	0.00174349	0.00174349
0.3125	0.00226277	0.00138188	0.000880894	0.00226053	0.00226053
0.375	0.00275105	0.00161113	0.00113992	0.00274628	0.00274628
0.4375	0.00321194	0.00182794	0.00138399	0.00320314	0.00320314
0.5	0.00364829	0.00203378	0.0016145	0.00363342	0.00363342
0.5625	0.004063	0.00223012	0.00183288	0.00403942	0.00403942
0.625	0.00445902	0.00241845	0.00204057	0.00442333	0.00442333
0.6875	0.00483928	0.00260026	0.00223901	0.00478733	0.00478733
0.75	0.00520665	0.00277701	0.00242964	0.00513347	0.00513347
0.8125	0.00556398	0.0029501	0.00261387	0.00546374	0.00546374
0.875	0.00591395	0.00312089	0.00279306	0.00578005	0.00578005
0.9375	0.00625916	0.00329066	0.0029685	0.00608419	0.00608419
1	0.00660203	0.0034606	0.00314143	0.00637787	0.00637787
1.0625	0.00694486	0.00363184	0.00331302	0.00666272	0.00666272
1.125	0.00728978	0.00380545	0.00348433	0.00694025	0.00694025
1.1875	0.00763878	0.00398239	0.00365639	0.00721192	0.00721192
1.25	0.00799375	0.0041636	0.00383014	0.00747911	0.00747911
1.3125	0.00835643	0.00434996	0.00400647	0.00774312	0.00774312
1.375	0.0087285	0.0045423	0.0041862	0.00800519	0.00800519
1.4375	0.00911155	0.00474143	0.00437012	0.00826653	0.00826653
1.5	0.00950714	0.00494815	0.00455899	0.00852829	0.00852829
1.5625	0.00991677	0.00516323	0.00475354	0.00879159	0.00879159
1.625	0.010342	0.00538747	0.00495448	0.00905753	0.00905753
1.6875	0.0107842	0.00562168	0.00516252	0.0093272	0.0093272
1.75	0.011245	0.00586667	0.00537837	0.00960167	0.00960167
1.8125	0.0117261	0.00612331	0.00560276	0.00988201	0.00988201
1.875	0.0122289	0.0063925	0.00583643	0.0101693	0.0101693
1.9375	0.0127554	0.00667521	0.00608014	0.0104647	0.0104647
2	0.0133072	0.00697244	0.00633472	0.0107693	0.0107693
2.0625	0.0138863	0.00728529	0.00660102	0.0110844	0.0110844
2.125	0.0144949	0.00761496	0.00687993	0.011411	0.011411
2.1875	0.0151352	0.0079627	0.00717245	0.0117507	0.0117507
2.25	0.0158095	0.00832993	0.00747961	0.0121046	0.0121046
2.3125	0.0165207	0.00871814	0.00780255	0.0124744	0.0124744
2.375	0.0172715	0.009129	0.00814248	0.0128615	0.0128615
2.4375	0.0180651	0.00956432	0.00850076	0.0132678	0.0132678
2.5	0.0189049	0.0100261	0.00887883	0.013695	0.013695
2.5625	0.0197948	0.0105166	0.00927829	0.0141451	0.0141451
2.625	0.020739	0.0110381	0.00970088	0.0146205	0.0146205
2.6875	0.0217419	0.0115934	0.0101485	0.0151234	0.0151234
2.75	0.0228088	0.0121854	0.0106234	0.0156565	0.0156565
2.8125	0.0239452	0.0128175	0.0111277	0.0162229	0.0162229
2.875	0.0251575	0.0134933	0.0116642	0.0168257	0.0168257
2.9375	0.0264525	0.0142169	0.0122356	0.0174686	0.0174686
3	0.0278379	0.0149928	0.0128451	0.0181557	0.0181557
3.0625	0.0293225	0.0158262	0.0134963	0.0188915	0.0188915
3.125	0.0309158	0.0167227	0.0141931	0.019681	0.019681
3.1875	0.0326286	0.0176888	0.0149398	0.02053	0.02053
3.25	0.034473	0.0187316	0.0157414	0.0214449	0.0214449
3.3125	0.0364624	0.0198592	0.0166033	0.022433	0.022433
3.375	0.0386123	0.0210808	0.0175315	0.0235024	0.0235024
