Time	Combined adopter fraction[eu]	Adopter Fraction[eu,p1]	Adopter Fraction[eu,p2]	Adopter Fraction[sp,p1]	Adopter Fraction[sp,p2]
0	0	0	0	0	0
0.0625	0.0003125	0.0003125	0	0.0003125	0
0.125	0.000605501	0.000605501	0	0.000605501	0
0.1875	0.00119268	0.000880368	0.000312311	0.000880368	0.000312311
0.25	0.00174349	0.00113835	0.00060514	0.00113835	0.00060514
0.3125	0.00226055	0.00138067	0.000879877	0.00138065	0.000879877
0.375	0.00274637	0.00160856	0.00113781	0.00160848	0.0011378
0.4375	0.00320339	0.00182322	0.00138018	0.00182298	0.00138015
0.5	0.00363409	0.00202589	0.00160819	0.00202531	0.00160809
0.5625	0.00404093	0.00221785	0.00182307	0.00221657	0.00182279
0.625	0.00442645	0.00240041	0.00202604	0.00239786	0.00202537
0.6875	0.00479327	0.00257493	0.00221834	0.00257021	0.00221692
0.75	0.00514405	0.00274281	0.00240124	0.00273463	0.00239848
0.8125	0.00548154	0.00290549	0.00257605	0.00289207	0.00257108
0.875	0.00580857	0.00306446	0.00274411	0.00304343	0.00273566
0.9375	0.00612798	0.00322121	0.00290677	0.00318957	0.00289313
1	0.00644264	0.00337722	0.00306543	0.00333128	0.00304436
1.0625	0.00675541	0.00353396	0.00322145	0.00346934	0.00319014
1.125	0.00706907	0.00369285	0.00337622	0.00360446	0.00333124
1.1875	0.00738631	0.00385525	0.00353106	0.00373732	0.00346837
1.25	0.00770973	0.00402245	0.00368728	0.00386858	0.00360221
1.3125	0.00804175	0.00419565	0.0038461	0.00399887	0.00373338
1.375	0.00838466	0.00437598	0.00400867	0.0041288	0.0038625
1.4375	0.00874058	0.00456449	0.00417609	0.00425897	0.00399013
1.5	0.00911148	0.00476216	0.00434933	0.00438996	0.00411684
1.5625	0.0094992	0.00496988	0.00452931	0.00452234	0.00424315
1.625	0.00990543	0.00518854	0.00471688	0.00465671	0.00436958
1.6875	0.0103318	0.00541896	0.0049128	0.00479364	0.00449664
1.75	0.0107797	0.00566194	0.00511778	0.00493372	0.00462482
1.8125	0.0112507	0.00591826	0.00533248	0.00507756	0.00475461
1.875	0.0117462	0.00618873	0.00555751	0.00522576	0.0048865
1.9375	0.0122676	0.00647415	0.00579346	0.00537897	0.00502097
2	0.0128162	0.00677534	0.00604089	0.00553784	0.00515851
2.0625	0.0133935	0.00709319	0.00630036	0.00570306	0.00529962
2.125	0.014001	0.00742862	0.00657241	0.00587537	0.0054448
2.1875	0.0146402	0.00778262	0.00685761	0.00605553	0.00559456
2.25	0.0153128	0.00815627	0.00715653	0.00624436	0.00574943
2.3125	0.0160205	0.00855071	0.00746976	0.00644273	0.00590996
2.375	0.0167652	0.00896724	0.00779792	0.0066516	0.00607671
2.4375	0.0175489	0.00940724	0.00814168	0.00687196	0.00625027
2.5	0.018374	0.00987226	0.00850174	0.00710494	0.00643127
2.5625	0.0192429	0.010364	0.00887887	0.00735172	0.00662036
2.625	0.0201582	0.0108843	0.00927388	0.00761365	0.00681824
2.6875	0.0211231	0.0114354	0.00968767	0.00789217	0.00702563
2.75	0.0221407	0.0120195	0.0101212	0.00818888	0.00724334
2.8125	0.0232148	0.0126393	0.0105755	0.00850557	0.0074722
2.875	0.0243494	0.0132977	0.0110518	0.00884422	0.00771312
2.9375	0.0255491	0.013998	0.0115512	0.00920704	0.00796707
3	0.0268189	0.0147438	0.0120751	0.0095965	0.00823511
3.0625	0.0281644	0.0155394	0.012625	0.0100154	0.00851838
3.125	0.029592	0.0163895	0.0132025	0.0104668	0.00881812
3.1875	0.0311086	0.0172993	0.0138093	0.0109544	0.00913566
3.25	0.0327223	0.0182749	0.0144474	0.0114821	0.00947247
3.3125	0.0344419	0.0193232	0.0151187	0.0120546	0.00983013
3.375	0.0362774	0.0204519	0.0158255	0.012677	0.0102104
3.4375	0.0382402	0.0216699	0.0165703	0.0133554	0.0106151
3.5	0.0403431	0.0229877	0.0173555	0.0140967	0.0110463
3.5625	0.0426008	0.0244168	0.018184	0.0149088	0.0115062
3.625	0.0450296	0.0259709	0.0190587	0.0158009	0.0119972
3.6875	0.0476486	0.0276656	0.019983	0.0167837	0.012522
3.75	0.0504793	0.0295193	0.02096	0.0178697	0.0130833
3.8125	0.0535466	0.0315531	0.0219935	0.0190734	0.0136842
3.875	0.0568788	0.0337918	0.023087	0.0204119	0.014328
3.9375	0.060509	0.0362645	0.0242445	0.0219055	0.015018
4	0.064475	0.0390054	0.0254696	0.0235779	0.0157579
4.0625	0.0682365	0.0417625	0.026474	0.0251572	0.0162513
4.125	0.0723788	0.044846	0.0275329	0.0269504	0.0167892
4.1875	0.0769555	0.0483078	0.0286478	0.0289931	0.0173739
4.25	0.0820299	0.0522101	0.0298197	0.031328	0.0180079
4.3125	0.0876767	0.0566277	0.031049	0.0340069	0.0186932
4.375	0.093985	0.0616504	0.0323346	0.0370928	0.0194319
4.4375	0.101061	0.0673865	0.0336745	0.0406624	0.0202251
4.5	0.109031	0.0739669	0.0350644	0.0448095	0.0210736
4.5625	0.118048	0.0815502	0.036498	0.0496492	0.021977
4.625	0.128294	0.0903279	0.0379661	0.055323	0.0229336
4.6875	0.139987	0.100532	0.0394558	0.0620049	0.0239401
4.75	0.15339	0.11244	0.0409504	0.0699093	0.024991
4.8125	0.168814	0.126385	0.0424288	0.0792992	0.0260786
4.875	0.186625	0.142761	0.0438647	0.090496	0.027192
4.9375	0.20725	0.162023	0.0452275	0.103889	0.0283176
5	0.231169	0.184687	0.046482	0.119943	0.0294382
5.0625	0.258905	0.211315	0.0475898	0.139204	0.0305337
5.125	0.290991	0.24248	0.0485112	0.162291	0.0315815
