Time	Combined adopter fraction[eu]	Adopter Fraction[eu,p1]	Adopter Fraction[eu,p2]	Adopter Fraction[sp,p1]	Adopter Fraction[sp,p2]
0	0	0	0	0	0
0.0625	0.0003125	0.0003125	0	0.0003125	0.0003125
0.125	0.000605538	0.00060552	1.85724e-008	0.000605501	0.000605501
0.1875	0.00119284	0.000880455	0.000312385	0.00119268	0.00119268
0.25	0.00174427	0.00113877	0.0006055	0.00174349	0.00174349
0.3125	0.00226264	0.00138181	0.000880828	0.00226053	0.00226053
0.375	0.00275071	0.00161096	0.00113975	0.00274628	0.00274628
0.4375	0.00321121	0.00182759	0.00138363	0.00320314	0.00320314
0.5	0.00364691	0.0020331	0.0016138	0.00363342	0.00363342
0.5625	0.00406058	0.00222893	0.00183166	0.00403941	0.00403941
0.625	0.00445504	0.00241649	0.00203856	0.00442332	0.00442332
0.6875	0.00483308	0.0025972	0.00223588	0.0047873	0.0047873
0.75	0.00519741	0.00277244	0.00242497	0.00513342	0.00513342
0.8125	0.00555071	0.00294354	0.00260717	0.00546367	0.00546367
0.875	0.00589551	0.00311176	0.00278375	0.00577991	0.00577991
0.9375	0.00623425	0.00327831	0.00295594	0.00608396	0.00608396
1	0.00656922	0.00344431	0.00312491	0.00637751	0.00637751
1.0625	0.00690258	0.00361083	0.00329175	0.00666215	0.00666215
1.125	0.00723634	0.00377885	0.00345749	0.0069394	0.0069394
1.1875	0.0075724	0.0039493	0.0036231	0.00721068	0.00721068
1.25	0.00791252	0.00412305	0.00378947	0.00747732	0.00747732
1.3125	0.00825837	0.00430091	0.00395746	0.00774062	0.00774062
1.375	0.00861154	0.00448369	0.00412785	0.00800177	0.00800177
1.4375	0.00897353	0.00467213	0.0043014	0.00826194	0.00826194
1.5	0.0093458	0.00486697	0.00447882	0.00852223	0.00852223
1.5625	0.00972976	0.00506895	0.00466081	0.00878371	0.00878371
1.625	0.0101268	0.00527878	0.00484802	0.00904743	0.00904743
1.6875	0.0105383	0.00549721	0.00504113	0.00931441	0.00931441
1.75	0.0109658	0.00572499	0.00524079	0.00958566	0.00958566
1.8125	0.0114105	0.0059629	0.00544765	0.00986218	0.00986218
1.875	0.0118741	0.00621175	0.00566238	0.010145	0.010145
1.9375	0.0123581	0.0064724	0.00588568	0.0104351	0.0104351
2	0.012864	0.00674576	0.00611827	0.0107336	0.0107336
2.0625	0.0133937	0.00703279	0.00636088	0.0110416	0.0110416
2.125	0.0139489	0.00733455	0.00661431	0.0113601	0.0113601
2.1875	0.0145316	0.00765215	0.00687941	0.0116904	0.0116904
2.25	0.0151439	0.00798682	0.00715706	0.0120337	0.0120337
2.3125	0.0157881	0.00833987	0.00744824	0.0123913	0.0123913
2.375	0.0164667	0.00871275	0.00775397	0.0127646	0.0127646
2.4375	0.0171824	0.00910703	0.00807539	0.0131553	0.0131553
2.5	0.0179382	0.00952445	0.00841371	0.0135648	0.0135648
2.5625	0.0187372	0.0099669	0.00877027	0.013995	0.013995
2.625	0.019583	0.0104365	0.00914652	0.0144479	0.0144479
2.6875	0.0204795	0.0109355	0.00954406	0.0149255	0.0149255
2.75	0.0214311	0.0114665	0.00996463	0.0154303	0.0154303
2.8125	0.0224424	0.0120323	0.0104102	0.0159647	0.0159647
2.875	0.0235187	0.012636	0.0108828	0.0165316	0.0165316
2.9375	0.0246659	0.0132811	0.0113848	0.0171341	0.0171341
3	0.0258904	0.0139716	0.0119188	0.0177759	0.0177759
3.0625	0.0271994	0.0147117	0.0124877	0.0184607	0.0184607
3.125	0.0286009	0.0155062	0.0130946	0.0191929	0.0191929
3.1875	0.0301038	0.0163607	0.0137431	0.0199775	0.0199775
3.25	0.0317183	0.0172811	0.0144372	0.0208199	0.0208199
3.3125	0.0334554	0.0182743	0.0151811	0.0217264	0.0217264
