Time	Combined adopter fraction[eu]	Adopter Fraction[eu,p1]	Adopter Fraction[eu,p2]	Adopter Fraction[sp,p1]	Adopter Fraction[sp,p2]
0	0	0	0	0	0
0.0625	0.0003125	0.0003125	0	0.0003125	0
0.125	0.000586007	0.000586007	0	0.000586007	0
0.1875	0.0011379	0.000825586	0.000312317	0.000825559	0.000312317
0.25	0.00162146	0.0010357	0.000585762	0.00103558	0.000585762
0.3125	0.00204564	0.00122023	0.000825413	0.00121991	0.000825386
0.375	0.00241829	0.0013826	0.00103568	0.00138193	0.00103557
0.4375	0.00274631	0.00152586	0.00122045	0.00152462	0.00122014
0.5	0.00303583	0.00165271	0.00138312	0.00165063	0.00138247
0.5625	0.00329224	0.00176551	0.00152673	0.00176226	0.00152553
0.625	0.00352029	0.00186637	0.00165392	0.00186155	0.00165193
0.6875	0.00372414	0.00195709	0.00176705	0.00195027	0.00176397
0.75	0.00390743	0.00203927	0.00186816	0.00202994	0.00186363
0.8125	0.00407331	0.00211427	0.00195904	0.0021019	0.00195267
0.875	0.00422448	0.00218325	0.00204123	0.00216729	0.00203258
0.9375	0.0043633	0.00224723	0.00211607	0.00222708	0.00210467
1	0.00449174	0.00230703	0.00218471	0.00228213	0.00217006
1.0625	0.00461151	0.00236339	0.00224812	0.00233314	0.00222973
1.125	0.00472404	0.0024169	0.00230714	0.00238073	0.0022845
1.1875	0.00483056	0.00246807	0.00236248	0.00242541	0.00233507
1.25	0.00493208	0.00251733	0.00241474	0.00246764	0.00238206
1.3125	0.00502947	0.00256504	0.00246443	0.00250779	0.00242599
1.375	0.00512344	0.00261148	0.00251196	0.00254617	0.00246729
1.4375	0.0052146	0.0026569	0.0025577	0.00258306	0.00250635
1.5	0.00530346	0.00270151	0.00260195	0.00261868	0.00254349
1.5625	0.00539042	0.00274547	0.00264495	0.00265323	0.00257897
1.625	0.00547584	0.00278892	0.00268692	0.00268688	0.00261304
1.6875	0.00556	0.00283197	0.00272803	0.00271976	0.00264589
1.75	0.00564315	0.00287472	0.00276842	0.00275198	0.00267769
1.8125	0.00572546	0.00291725	0.00280821	0.00278366	0.00270858
1.875	0.00580712	0.00295961	0.00284751	0.00281486	0.00273868
1.9375	0.00588824	0.00300186	0.00288638	0.00284566	0.0027681
2	0.00596893	0.00304403	0.00292491	0.00287612	0.00279692
2.0625	0.00604929	0.00308615	0.00296314	0.00290628	0.00282522
2.125	0.00612937	0.00312826	0.00300111	0.00293619	0.00285306
2.1875	0.00620924	0.00317036	0.00303887	0.00296589	0.00288049
2.25	0.00628893	0.00321249	0.00307644	0.00299539	0.00290756
2.3125	0.00636849	0.00325464	0.00311385	0.00302473	0.0029343
2.375	0.00644793	0.00329682	0.00315111	0.00305392	0.00296074
2.4375	0.00652728	0.00333904	0.00318823	0.00308297	0.00298692
2.5	0.00660655	0.00338131	0.00322523	0.00311191	0.00301285
2.5625	0.00668575	0.00342363	0.00326212	0.00314075	0.00303855
2.625	0.00676489	0.00346599	0.00329889	0.00316948	0.00306404
2.6875	0.00684397	0.0035084	0.00333556	0.00319812	0.00308933
2.75	0.00692299	0.00355086	0.00337213	0.00322668	0.00311443
2.8125	0.00700197	0.00359337	0.0034086	0.00325516	0.00313935
2.875	0.00708089	0.00363592	0.00344496	0.00328356	0.0031641
2.9375	0.00715975	0.00367852	0.00348123	0.00331188	0.00318869
3	0.00723856	0.00372116	0.0035174	0.00334014	0.00321311
3.0625	0.0073173	0.00376384	0.00355346	0.00336833	0.00323738
3.125	0.00739599	0.00380656	0.00358943	0.00339646	0.0032615
3.1875	0.00747463	0.00384933	0.00362529	0.00342452	0.00328548
3.25	0.0075532	0.00389214	0.00366106	0.00345252	0.00330931
3.3125	0.00763171	0.00393499	0.00369672	0.00348047	0.003333
3.375	0.00771016	0.00397788	0.00373228	0.00350836	0.00335655
3.4375	0.00778856	0.00402082	0.00376774	0.0035362	0.00337997
3.5	0.00786691	0.00406381	0.0038031	0.00356399	0.00340326
3.5625	0.00794521	0.00410684	0.00383836	0.00359174	0.00342642
3.625	0.00802346	0.00414993	0.00387353	0.00361945	0.00344947
3.6875	0.00810168	0.00419308	0.0039086	0.00364711	0.00347239
3.75	0.00817987	0.00423629	0.00394358	0.00367475	0.00349519
3.8125	0.00825804	0.00427957	0.00397847	0.00370236	0.00351789
3.875	0.0083362	0.00432292	0.00401328	0.00372995	0.00354047
3.9375	0.00841436	0.00436636	0.00404801	0.00375752	0.00356296
4	0.00849254	0.00440988	0.00408266	0.00378509	0.00358535
4.0625	0.00857075	0.00445351	0.00411724	0.00381265	0.00360765
4.125	0.008649	0.00449724	0.00415176	0.00384022	0.00362986
4.1875	0.00872731	0.00454109	0.00418622	0.0038678	0.00365199
4.25	0.00880571	0.00458508	0.00422063	0.0038954	0.00367404
4.3125	0.0088842	0.0046292	0.004255	0.00392304	0.00369603
4.375	0.00896282	0.00467348	0.00428934	0.00395072	0.00371796
4.4375	0.00904159	0.00471794	0.00432365	0.00397845	0.00373984
4.5	0.00912052	0.00476258	0.00435794	0.00400624	0.00376167
4.5625	0.00919965	0.00480741	0.00439223	0.00403411	0.00378347
4.625	0.009279	0.00485247	0.00442653	0.00406206	0.00380523
4.6875	0.0093586	0.00489776	0.00446084	0.00409011	0.00382698
4.75	0.00943849	0.00494331	0.00449518	0.00411828	0.00384872
4.8125	0.0095187	0.00498914	0.00452956	0.00414657	0.00387045
4.875	0.00959925	0.00503526	0.00456399	0.00417501	0.0038922
4.9375	0.00968019	0.0050817	0.00459849	0.0042036	0.00391396
5	0.00976155	0.00512848	0.00463307	0.00423237	0.00393576
5.0625	0.00984337	0.00517562	0.00466775	0.00426132	0.00395759
