Time	Combined adopter fraction[eu]	Adopter Fraction[eu,p1]	Adopter Fraction[eu,p2]	Adopter Fraction[sp,p1]	Adopter Fraction[sp,p2]
0	0	0	0	0	0
0.0625	0.0003125	0.0003125	0	0.0003125	0.0003125
0.125	0.000605538	0.00060552	1.85724e-008	0.000605501	0.000605501
0.1875	0.00119283	0.000880442	0.000312385	0.00119268	0.00119268
0.25	0.00174419	0.00113869	0.000605501	0.00174349	0.00174349
0.3125	0.00226239	0.00138159	0.000880801	0.00226053	0.00226053
0.375	0.00275011	0.00161048	0.00113964	0.00274628	0.00274628
0.4375	0.00321003	0.00182671	0.00138333	0.00320314	0.00320314
0.5	0.00364493	0.00203171	0.00161321	0.00363342	0.00363342
0.5625	0.00405767	0.00222701	0.00183066	0.0040394	0.0040394
0.625	0.00445131	0.0024142	0.00203711	0.00442331	0.00442331
0.6875	0.004829	0.00259496	0.00223404	0.00478728	0.00478728
0.75	0.00519409	0.00277109	0.00242301	0.00513339	0.00513339
0.8125	0.00555005	0.00294441	0.00260564	0.00546362	0.00546362
0.875	0.00590043	0.00311681	0.00278362	0.00577986	0.00577986
0.9375	0.00624887	0.0032902	0.00295867	0.00608394	0.00608394
1	0.00659897	0.00346642	0.00313254	0.00637757	0.00637757
1.0625	0.00695427	0.0036473	0.00330697	0.0066624	0.0066624
1.125	0.00731822	0.00383455	0.00348367	0.00694	0.00694
1.1875	0.00769406	0.0040298	0.00366426	0.00721189	0.00721189
1.25	0.00808489	0.00423457	0.00385032	0.00747953	0.00747953
1.3125	0.00849357	0.00445027	0.0040433	0.00774434	0.00774434
1.375	0.00892278	0.00467821	0.00424457	0.00800769	0.00800769
1.4375	0.00937502	0.00491964	0.00445539	0.00827095	0.00827095
1.5	0.00985264	0.00517572	0.00467692	0.00853546	0.00853546
1.5625	0.0103579	0.00544761	0.00491026	0.00880256	0.00880256
1.625	0.0108929	0.00573642	0.00515645	0.0090736	0.0090736
1.6875	0.0114598	0.00604329	0.00541646	0.00934993	0.00934993
1.75	0.0120607	0.00636938	0.00569128	0.00963292	0.00963292
1.8125	0.0126978	0.00671591	0.00598185	0.00992396	0.00992396
1.875	0.0133733	0.00708415	0.00628917	0.0102245	0.0102245
1.9375	0.0140897	0.0074755	0.00661424	0.0105361	0.0105361
2	0.0148496	0.00789144	0.00695813	0.0108602	0.0108602
2.0625	0.0156556	0.00833359	0.00732199	0.0111985	0.0111985
2.125	0.0165108	0.00880375	0.00770705	0.0115528	0.0115528
2.1875	0.0174185	0.00930388	0.00811464	0.0119249	0.0119249
2.25	0.0183824	0.00983616	0.00854625	0.0123167	0.0123167
2.3125	0.0194065	0.010403	0.00900347	0.0127305	0.0127305
2.375	0.0204952	0.0110071	0.0094881	0.0131684	0.0131684
2.4375	0.0216535	0.0116514	0.0100021	0.0136331	0.0136331
2.5	0.022887	0.0123394	0.0105477	0.0141274	0.0141274
2.5625	0.0242018	0.0130746	0.0111272	0.0146541	0.0146541
2.625	0.0256047	0.0138612	0.0117435	0.0152168	0.0152168
2.6875	0.0271035	0.0147041	0.0123995	0.0158192	0.0158192
2.75	0.0287067	0.0156082	0.0130985	0.0164653	0.0164653
2.8125	0.030424	0.0165797	0.0138443	0.0171599	0.0171599
2.875	0.0322661	0.017625	0.0146411	0.0179082	0.0179082
2.9375	0.0342452	0.0187516	0.0154936	0.0187159	0.0187159
3	0.0363748	0.019968	0.0164068	0.0195898	0.0195898
3.0625	0.0386704	0.0212836	0.0173868	0.0205373	0.0205373
3.125	0.0411492	0.0227092	0.01844	0.0215669	0.0215669
3.1875	0.0438307	0.024257	0.0195737	0.0226881	0.0226881
3.25	0.046737	0.0259408	0.0207962	0.0239121	0.0239121
3.3125	0.049893	0.0277764	0.0221166	0.0252512	0.0252512
3.375	0.0533269	0.0297817	0.0235453	0.02672	0.02672
