Time	a	Adopter Fraction[eu,p1]	Adopter Fraction[eu,p2]	Adopter Fraction[sp,p1]	Adopter Fraction[sp,p2]	Adopters[eu,p1]	Adopters[eu,p2]	Adopters[sp,p1]	Adopters[sp,p2]	Adoption Fraction[eu,p1]	Adoption Fraction[eu,p2]	Adoption Fraction[sp,p1]	Adoption Fraction[sp,p2]	Adoption from Advertising[eu,p1]	Adoption from Advertising[eu,p2]	Adoption from Advertising[sp,p1]	Adoption from Advertising[sp,p2]	Adoption from Word of Mouth[eu,p1]	Adoption from Word of Mouth[eu,p2]	Adoption from Word of Mouth[sp,p1]	Adoption from Word of Mouth[sp,p2]	Adoption Rate[eu,p1]	Adoption Rate[eu,p2]	Adoption Rate[sp,p1]	Adoption Rate[sp,p2]	af ref	alpha	beta	c	Combined adopter fraction[eu]	Combined adopter fraction[sp]	Competitive Effort[p1]	Competitive Effort[p2]	Cumulative Adopters[eu,p1]	Cumulative Adopters[eu,p2]	Data per User[p1]	Data per User[p2]	Data Rate from Switchers[p1]	Data Rate from Switchers[p2]	Data REF	Discard Fraction[eu,p1]	Discard Fraction[eu,p2]	Discard Fraction[sp,p1]	Discard Fraction[sp,p2]	Discard Rate[eu,p1]	Discard Rate[eu,p2]	Discard Rate[sp,p1]	Discard Rate[sp,p2]	Expenses[p1]	Expenses[p2]	F0	FINAL TIME	gamma	gamma'	Indicated Switchers[eu,p1,p1]	Indicated Switchers[eu,p1,p2]	Indicated Switchers[eu,p2,p1]	Indicated Switchers[eu,p2,p2]	Indicated Switchers[sp,p1,p1]	Indicated Switchers[sp,p1,p2]	Indicated Switchers[sp,p2,p1]	Indicated Switchers[sp,p2,p2]	Initial Adopters	INITIAL TIME	M ref	MS Gap[eu,p1]	MS Gap[eu,p2]	N	p ref	Potential Adopters[eu]	Potential Adopters[sp]	Q0	qe	Quality[p1]	Quality[p2]	ra	re	Ref Data per User	Resource Accumulation[p1]	Resource Accumulation[p2]	Resource Depletion[p1,dres]	Resource Depletion[p1,fres]	Resource Depletion[p2,dres]	Resource Depletion[p2,fres]	Resources[p1,dres]	Resources[p1,fres]	Resources[p2,dres]	Resources[p2,fres]	SAVEPER	SWITCH DISCARDS	Switch Fraction[eu,p1,p1]	Switch Fraction[eu,p1,p2]	Switch Fraction[eu,p2,p1]	Switch Fraction[eu,p2,p2]	Switch Fraction[sp,p1,p1]	Switch Fraction[sp,p1,p2]	Switch Fraction[sp,p2,p1]	Switch Fraction[sp,p2,p2]	SWITCH FULL CE	SWITCH OPEN	SWITCH SP SWITCHERS	SWITCH USER DATA VALUE	Switcher Net Inflow[eu,p1,p1]	Switcher Net Inflow[eu,p1,p2]	Switcher Net Inflow[eu,p2,p1]	Switcher Net Inflow[eu,p2,p2]	Switcher Net Inflow[sp,p1,p1]	Switcher Net Inflow[sp,p1,p2]	Switcher Net Inflow[sp,p2,p1]	Switcher Net Inflow[sp,p2,p2]	Switchers[eu,p1,p1]	Switchers[eu,p1,p2]	Switchers[eu,p2,p1]	Switchers[eu,p2,p2]	Switchers[sp,p1,p1]	Switchers[sp,p1,p2]	Switchers[sp,p2,p1]	Switchers[sp,p2,p2]	Switching Rate[eu,p1]	Switching Rate[eu,p2]	Switching Rate[sp,p1]	Switching Rate[sp,p2]	T	T ref	T0[p1]	T0[p2]	tau	tau'	theta	TIME STEP	V ref	Value to Adopters[eu,p1,p1]	Value to Adopters[eu,p1,p2]	Value to Adopters[eu,p2,p1]	Value to Adopters[eu,p2,p2]	Value to Adopters[sp,p1,p1]	Value to Adopters[sp,p1,p2]	Value to Adopters[sp,p2,p1]	Value to Adopters[sp,p2,p2]	Value to Non Adopters[eu,p1]	Value to Non Adopters[eu,p2]	Value to Non Adopters[sp,p1]	Value to Non Adopters[sp,p2]
0.625		0.00240202	0.00202686	0.00239787	0.00202537	2.40202	2.02686	2.39787	2.02537	0.00878026	0.00576335	0.00879078	0.00576624	4.97786	4.97786	4.97788	4.97788	0.104985	0.0581489	0.104929	0.0581356	5.08284	5.036	5.08281	5.03602					0.00442888	0.00442324	1	1	3.13633	2.50183	0.239063	0.193551	0	0	250	0.955514	0.96286	0.971304	0.971304	2.29516	1.95158	2.32906	1.96725	262.862	262.656					0	0.0137284	0.0177173	0	0	0.0138267	0.0178046	0				-0.199368	-0.199574			995.571	995.577			2.24607	1.65926			0.25	2.40202	2.02686	0	0	0	0	0.749781	262.862	0.484231	262.656	0.0625		0	0.00571537	0.00874126	0	0	0.00576624	0.00879078	0					0	0.0039889	-0.0039889	0	0	0.00397788	-0.00397788	0	0	0.0137284	0.0177173	0	0	0.0138267	0.0178046	0	0.0039889	-0.0039889	0.00397788	-0.00397788										0.104579	0.0350905	0.0534591	0.0622576	0.0535238	0.0351085	0.0535238	0.0351085	0.0534591	0.0350905	0.0535238	0.0351085
0.6875		0.0025765	0.00221939	0.00257023	0.00221692	2.5765	2.21939	2.57023	2.21692	0.0103444	0.0068873	0.0103618	0.00689251	4.97602	4.97602	4.97606	4.97606	0.132623	0.0760614	0.132524	0.076035	5.10864	5.05208	5.10859	5.0521					0.00479589	0.00478715	1	1	3.45425	2.81658	0.260521	0.216898	0	0	250	0.946069	0.954902	0.966077	0.966077	2.43754	2.1193	2.48304	2.14171	246.583	246.367					0	0.0175559	0.0228219	0	0	0.0177153	0.0229714	0				-0.199258	-0.199474			995.204	995.213			2.52758	1.86639			0.25	2.5765	2.21939	0	0	0	0	0.899907	246.583	0.61091	246.367	0.0625		0	0.00681385	0.010283	0	0	0.00689251	0.0103618	0					0	0.00526605	-0.00526605	0	0	0.00525607	-0.00525607	0	0	0.0175559	0.0228219	0	0	0.0177153	0.0229714	0	0.00526605	-0.00526605	0.00525607	-0.00525607										0.128968	0.0420484	0.0631548	0.0785291	0.0632626	0.0420811	0.0632626	0.0420811	0.0631548	0.0420484	0.0632626	0.0420811
0.75		0.00274377	0.00240236	0.00273465	0.00239849	2.74377	2.40236	2.73465	2.39849	0.0120495	0.00814424	0.0120771	0.00815313	4.97427	4.97427	4.97433	4.97433	0.164454	0.0973235	0.164286	0.0972741	5.13872	5.07159	5.13862	5.07161					0.00514613	0.00513314	1	1	3.77387	3.13234	0.281127	0.239317	0	0	250	0.935561	0.945954	0.960342	0.960342	2.56696	2.27252	2.6262	2.30337	231.333	231.107					0	0.0220472	0.0287232	0	0	0.022296	0.0289669	0				-0.199143	-0.199368			994.854	994.867			2.82765	2.095			0.25	2.74377	2.40236	0	0	0	0	1.06094	231.333	0.749622	231.107	0.0625		0	0.00803536	0.0119562	0	0	0.00815313	0.0120771	0					0	0.006676	-0.006676	0	0	0.0066709	-0.0066709	0	0	0.0220472	0.0287232	0	0	0.022296	0.0289669	0	0.006676	-0.006676	0.0066709	-0.0066709										0.156761	0.0498725	0.0737868	0.097614	0.0739589	0.0499288	0.0739589	0.0499288	0.0737868	0.0498725	0.0739589	0.0499288
0.8125		0.00290492	0.00257688	0.0028921	0.00257109	2.90492	2.57688	2.8921	2.57109	0.0138851	0.00952876	0.0139274	0.00954323	4.97259	4.97259	4.97268	4.97268	0.20057	0.1221	0.200296	0.122012	5.17316	5.09469	5.17298	5.0947					0.00548181	0.00546318	1	1	4.09546	3.44931	0.300924	0.260855	0	0	250	0.924062	0.936056	0.954135	0.954135	2.68433	2.41211	2.75945	2.45317	217.046	216.813					0	0.0272253	0.0354281	0	0	0.0275999	0.0358085	0				-0.199025	-0.199258			994.518	994.537			3.14355	2.34247			0.25	2.90492	2.57688	0	0	0	0	1.23242	217.046	0.899769	216.813	0.0625		0	0.00937212	0.0137484	0	0	0.00954323	0.0139274	0					0	0.00820277	-0.00820277	0	0	0.00820858	-0.00820858	0	0	0.0272253	0.0354281	0	0	0.0275999	0.0358085	0	0.00820277	-0.00820277	0.00820858	-0.00820858										0.187993	0.0585433	0.085308	0.119628	0.0855727	0.0586356	0.0855727	0.0586356	0.085308	0.0585433	0.0855727	0.0586356
0.875		0.00306099	0.00274403	0.00304345	0.00273567	3.06099	2.74403	3.04345	2.73567	0.0158403	0.0110333	0.0159028	0.0110559	4.97097	4.97097	4.9711	4.9711	0.241028	0.1505	0.240598	0.150353	5.212	5.12147	5.2117	5.12146					0.00580502	0.00577913	1	1	4.4193	3.76773	0.319956	0.281555	0	0	250	0.911663	0.925266	0.947498	0.947498	2.79059	2.53896	2.88367	2.59204	203.662	203.424					0	0.0331018	0.0429329	0	0	0.0336482	0.0435047	0				-0.198904	-0.199143			994.195	994.221			3.47271	2.60629			0.25	3.06099	2.74403	0	0	0	0	1.41398	203.662	1.06082	203.424	0.0625		0	0.0108141	0.0156459	0	0	0.0110559	0.0159028	0					0	0.0098311	-0.0098311	0	0	0.00985646	-0.00985646	0	0	0.0331018	0.0429329	0	0	0.0336482	0.0435047	0	0.0098311	-0.0098311	0.00985646	-0.00985646										0.222663	0.068028	0.0976666	0.144643	0.0980601	0.0681735	0.0980601	0.0681735	0.0976666	0.068028	0.0980601	0.0681735
0.9375		0.00321294	0.00290482	0.00318957	0.00289314	3.21294	2.90482	3.18957	2.89314	0.0179038	0.012649	0.0179933	0.0126831	4.96941	4.96941	4.96959	4.96959	0.28586	0.182591	0.285208	0.182354	5.25527	5.152	5.25479	5.15194					0.00611776	0.00608272	1	1	4.74566	4.08782	0.338266	0.301463	0	0	250	0.898466	0.913661	0.940473	0.940473	2.88672	2.65402	2.99971	2.72092	191.125	190.881					0	0.0396792	0.0512261	0	0	0.0404536	0.0520571	0				-0.198782	-0.199025			993.882	993.917			3.81276	2.88405			0.25	3.21294	2.90482	0	0	0	0	1.60529	191.125	1.23233	190.881	0.0625		0	0.0123498	0.0176348	0	0	0.0126831	0.0179933	0					0	0.0115469	-0.0115469	0	0	0.0116034	-0.0116034	0	0	0.0396792	0.0512261	0	0	0.0404536	0.0520571	0	0.0115469	-0.0115469	0.0116034	-0.0116034										0.260739	0.0782857	0.110808	0.172687	0.111376	0.0785069	0.111376	0.0785069	0.110808	0.0782857	0.111376	0.0785069
1		0.0033617	0.00306023	0.00333124	0.00304436	3.3617	3.06023	3.33124	3.04436	0.0200645	0.0143661	0.0201891	0.0144159	4.96789	4.96789	4.96812	4.96812	0.335089	0.218407	0.33413	0.218037	5.30298	5.1863	5.30225	5.18616					0.00642192	0.0063756	1	1	5.07484	4.40982	0.355894	0.32062	0	0	250	0.884579	0.901324	0.933105	0.933105	2.97369	2.75825	3.1084	2.8407	179.38	179.133					0	0.0469535	0.0602912	0	0	0.0480229	0.0614629	0				-0.198657	-0.198904			993.578	993.624			4.16152	3.17351			0.25	3.3617	3.06023	0	0	0	0	1.8061	179.38	1.41388	179.133	0.0625		0	0.0139672	0.0197016	0	0	0.0144159	0.0201891	0					0	0.0133377	-0.0133377	0	0	0.01344	-0.01344	0	0	0.0469535	0.0602912	0	0	0.0480229	0.0614629	0	0.0133377	-0.0133377	0.01344	-0.01344										0.302171	0.0892705	0.12468	0.203758	0.125477	0.089596	0.125477	0.089596	0.12468	0.0892705	0.125477	0.089596
1.0625		0.00350811	0.00321115	0.0034692	0.00319011	3.50811	3.21115	3.4692	3.19011	0.0223118	0.0161749	0.0224811	0.0162455	4.9664	4.9664	4.9667	4.9667	0.388732	0.257955	0.38736	0.257398	5.35514	5.22436	5.35406	5.2241					0.00671926	0.0066593	1	1	5.40711	4.73397	0.372881	0.339069	0	0	250	0.870113	0.888347	0.925434	0.925434	3.05245	2.85261	3.21051	2.95224	168.379	168.128					0	0.0549159	0.0701085	0	0	0.0563587	0.0717172	0				-0.198531	-0.198782			993.281	993.341			4.517	3.47259			0.25	3.50811	3.21115	0	0	0	0	2.01621	168.379	1.60514	168.128	0.0625		0	0.015654	0.0218329	0	0	0.0162455	0.0224811	0					0	0.0151926	-0.0151926	0	0	0.0153585	-0.0153585	0	0	0.0549159	0.0701085	0	0	0.0563587	0.0717172	0	0.0151926	-0.0151926	0.0153585	-0.0153585										0.346894	0.100934	0.139229	0.237829	0.140321	0.1014	0.140321	0.1014	0.139229	0.100934	0.140321	0.1014
1.125		0.00365298	0.00335843	0.00360413	0.00333114	3.65298	3.35843	3.60413	3.33114	0.0246357	0.0180656	0.0248606	0.0181629	4.96494	4.96494	4.96532	4.96532	0.446814	0.301233	0.444898	0.300418	5.41176	5.26618	5.41022	5.26574					0.00701141	0.00693527	1	1	5.74275	5.06049	0.389267	0.356851	0	0	250	0.855174	0.874825	0.917502	0.917502	3.12393	2.93804	3.3068	3.05633	158.075	157.821					0	0.0635551	0.0806575	0	0	0.0654615	0.0828142	0				-0.198403	-0.198657			992.989	993.065			4.8774	3.77937			0.25	3.65298	3.35843	0	0	0	0	2.23547	158.075	1.80584	157.821	0.0625		0	0.0173982	0.0240164	0	0	0.0181629	0.0248606	0					0	0.0171024	-0.0171024	0	0	0.0173528	-0.0173528	0	0	0.0635551	0.0806575	0	0	0.0654615	0.0828142	0	0.0171024	-0.0171024	0.0173528	-0.0173528										0.394832	0.113228	0.154408	0.274851	0.15587	0.113877	0.15587	0.113877	0.154408	0.113228	0.15587	0.113877
1.1875		0.00379704	0.00350287	0.00373668	0.00346814	3.79704	3.50287	3.73668	3.46814	0.0270271	0.0200286	0.0273198	0.0201598	4.9635	4.9635	4.96398	4.96398	0.509369	0.348227	0.506749	0.347067	5.47287	5.31173	5.47072	5.31104					0.00729991	0.00720482	1	1	6.08206	5.38962	0.405089	0.374004	0	0	250	0.839863	0.860849	0.909345	0.909345	3.18899	3.01544	3.39793	3.15374	148.423	148.167					0	0.0728586	0.0919182	0	0	0.0753307	0.094749	0				-0.198275	-0.198531			992.7	992.795			5.2411	4.09209			0.25	3.79704	3.50287	0	0	0	0	2.46378	148.423	2.01574	148.167	0.0625		0	0.0191883	0.0262408	0	0	0.0201598	0.0273198	0					0	0.0190597	-0.0190597	0	0	0.0194183	-0.0194183	0	0	0.0728586	0.0919182	0	0	0.0753307	0.094749	0	0.0190597	-0.0190597	0.0194183	-0.0194183										0.445906	0.126106	0.17017	0.314761	0.17209	0.126988	0.17209	0.126988	0.17017	0.126106	0.17209	0.126988
