Time	a	Adopter Fraction[eu,p1]	Adopter Fraction[eu,p2]	Adopter Fraction[sp,p1]	Adopter Fraction[sp,p2]	Adopters[eu,p1]	Adopters[eu,p2]	Adopters[sp,p1]	Adopters[sp,p2]	Adoption Fraction[eu,p1]	Adoption Fraction[eu,p2]	Adoption Fraction[sp,p1]	Adoption Fraction[sp,p2]	Adoption from Advertising[eu,p1]	Adoption from Advertising[eu,p2]	Adoption from Advertising[sp,p1]	Adoption from Advertising[sp,p2]	Adoption from Word of Mouth[eu,p1]	Adoption from Word of Mouth[eu,p2]	Adoption from Word of Mouth[sp,p1]	Adoption from Word of Mouth[sp,p2]	Adoption Rate[eu,p1]	Adoption Rate[eu,p2]	Adoption Rate[sp,p1]	Adoption Rate[sp,p2]	af ref	alpha	beta	c	Combined adopter fraction[eu]	Combined adopter fraction[sp]	Competitive Effort[p1]	Competitive Effort[p2]	Cumulative Adopters[eu,p1]	Cumulative Adopters[eu,p2]	Data per User[p1]	Data per User[p2]	Data Rate from Switchers[p1]	Data Rate from Switchers[p2]	Data REF	Discard Fraction[eu,p1]	Discard Fraction[eu,p2]	Discard Fraction[sp,p1]	Discard Fraction[sp,p2]	Discard Rate[eu,p1]	Discard Rate[eu,p2]	Discard Rate[sp,p1]	Discard Rate[sp,p2]	Expenses[p1]	Expenses[p2]	F0	FINAL TIME	gamma	gamma'	Indicated Switchers[eu,p1,p1]	Indicated Switchers[eu,p1,p2]	Indicated Switchers[eu,p2,p1]	Indicated Switchers[eu,p2,p2]	Indicated Switchers[sp,p1,p1]	Indicated Switchers[sp,p1,p2]	Indicated Switchers[sp,p2,p1]	Indicated Switchers[sp,p2,p2]	Initial Adopters	INITIAL TIME	M ref	MS Gap[eu,p1]	MS Gap[eu,p2]	N	p ref	Potential Adopters[eu]	Potential Adopters[sp]	Q0	qe	Quality[p1]	Quality[p2]	ra	re	Ref Data per User	Resource Accumulation[p1]	Resource Accumulation[p2]	Resource Depletion[p1,dres]	Resource Depletion[p1,fres]	Resource Depletion[p2,dres]	Resource Depletion[p2,fres]	Resources[p1,dres]	Resources[p1,fres]	Resources[p2,dres]	Resources[p2,fres]	SAVEPER	SWITCH DISCARDS	Switch Fraction[eu,p1,p1]	Switch Fraction[eu,p1,p2]	Switch Fraction[eu,p2,p1]	Switch Fraction[eu,p2,p2]	Switch Fraction[sp,p1,p1]	Switch Fraction[sp,p1,p2]	Switch Fraction[sp,p2,p1]	Switch Fraction[sp,p2,p2]	SWITCH FULL CE	SWITCH OPEN	SWITCH SP SWITCHERS	SWITCH USER DATA VALUE	Switcher Net Inflow[eu,p1,p1]	Switcher Net Inflow[eu,p1,p2]	Switcher Net Inflow[eu,p2,p1]	Switcher Net Inflow[eu,p2,p2]	Switcher Net Inflow[sp,p1,p1]	Switcher Net Inflow[sp,p1,p2]	Switcher Net Inflow[sp,p2,p1]	Switcher Net Inflow[sp,p2,p2]	Switchers[eu,p1,p1]	Switchers[eu,p1,p2]	Switchers[eu,p2,p1]	Switchers[eu,p2,p2]	Switchers[sp,p1,p1]	Switchers[sp,p1,p2]	Switchers[sp,p2,p1]	Switchers[sp,p2,p2]	Switching Rate[eu,p1]	Switching Rate[eu,p2]	Switching Rate[sp,p1]	Switching Rate[sp,p2]	T	T ref	T0[p1]	T0[p2]	tau	tau'	theta	TIME STEP	V ref	Value to Adopters[eu,p1,p1]	Value to Adopters[eu,p1,p2]	Value to Adopters[eu,p2,p1]	Value to Adopters[eu,p2,p2]	Value to Adopters[sp,p1,p1]	Value to Adopters[sp,p1,p2]	Value to Adopters[sp,p2,p1]	Value to Adopters[sp,p2,p2]	Value to Non Adopters[eu,p1]	Value to Non Adopters[eu,p2]	Value to Non Adopters[sp,p1]	Value to Non Adopters[sp,p2]
0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0	0	0	0	5	0	5	0	0.5	0.7	4	5	0	0	1	1	0	0	0	0	0	0	250	1	1	1	1	0	0	0	0	500	500	1000	20	0.7	1	0	0	0	0	0	0	0	0	0	0	0.2	-0.2	-0.2	1000	1	1000	1000	1	0	1	1	1	0	0.25	0	0	0	0	0	0	0	500	0	500	0.0625	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0.25	0	0.125	1	1	0	0.0625	3	0	0	0	0	0	0	0	0	0	0	0	0
0.0625		0.0003125	0	0.0003125	0	0.3125	0	0.3125	0	0.000951812	0	0.000951812	0	4.99844	0	4.99844	0	0.00148674	0	0.00148674	0	4.99992	0	4.99992	0					0.0003125	0.0003125	1	1	0.3125	0	0	0	0	0	250	0.998098	0.998098	0.998098	0.998098	0.311906	0	0.311906	0	468.75	468.75					0	0	0	0	0	0	0	0				-0.2	-0.2			999.688	999.688			1	1			0.25	0.3125	0	0	0	0	0	0	468.75	0	468.75	0.0625		0	0	0.000951812	0	0	0	0.000951812	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0.00571631	0	0.00571631	0	0.00571631	0	0.00571631	0	0.00571631	0	0.00571631	0
0.125		0.000605501	0	0.000605501	0	0.605501	0	0.605501	0	0.00151145	0	0.00151145	0	4.99697	4.99697	4.99697	4.99697	0.00457315	0	0.00457315	0	5.00155	4.99697	5.00155	4.99697					0.000605501	0.000605501	1	1	0.624995	0	0.0312502	0	0	0	250	0.996606	0.996982	0.996982	0.996982	0.603446	0	0.603674	0	439.473	439.453					0	0	0	0	0	0	0	0				-0.19998	-0.2			999.394	999.394			1	1			0.25	0.605501	0	0	0	0	0	0.0195313	439.473	0	439.453	0.0625		0	0	0.00151145	0	0	0	0.00151145	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0.0102177	0	0.00908242	0	0.00908242	0	0.00908242	0	0.00908242	0	0.00908242	0
0.1875		0.000880382	0.000312311	0.000880368	0.000312311	0.880382	0.312311	0.880368	0.312311	0.0020331	0.000949475	0.00203312	0.000949475	4.99404	4.99404	4.99404	4.99404	0.00893885	0.00148089	0.00893881	0.00148089	5.00298	4.99552	5.00298	4.99552					0.00119269	0.00119268	1	1	0.937592	0.312311	0.0611941	0	0	0	250	0.993067	0.994053	0.994053	0.994053	0.874279	0.310453	0.875132	0.310453	412.043	411.987					0	0.000835485	0.000634959	0	0	0.000835887	0.000634966	0				-0.199944	-0.2			998.807	998.807			1.03662	1			0.25	0.880382	0.312311	0	0	0	0	0.0573751	412.043	0	411.987	0.0625		0	0.000949002	0.0020331	0	0	0.000949475	0.00203312	0					0	-0.000200526	0.000200526	0	0	-0.000200921	0.000200921	0	0	0.000835485	0.000634959	0	0	0.000835887	0.000634966	0	-0.000200526	0.000200526	-0.000200921	0.000200921										0.01523	0.00571389	0.0122351	0.00571389	0.0122352	0.00571389	0.0122352	0.00571389	0.0122351	0.00571389	0.0122352	0.00571389
0.25		0.00113841	0.00060514	0.00113835	0.00060514	1.13841	0.60514	1.13835	0.60514	0.00260227	0.00150689	0.00260238	0.00150689	4.99128	4.99128	4.99128	4.99128	0.0147865	0.00455144	0.0147862	0.00455144	5.00607	4.99583	5.00607	4.99583					0.00174355	0.00174349	1	1	1.25028	0.624543	0.0898992	0.0312539	0	0	250	0.98997	0.991443	0.991815	0.991815	1.127	0.599962	1.12903	0.600187	386.346	386.258					0	0.00171386	0.00157444	0	0	0.00171536	0.0015748	0				-0.199892	-0.19998			998.256	998.257			1.10963	1			0.25	1.13841	0.60514	0	0	0	0	0.112399	386.346	0.0195194	386.258	0.0625		0	0.00150548	0.00260178	0	0	0.00150689	0.00260238	0					0	-0.000139415	0.000139415	0	0	-0.000140555	0.000140555	0	0	0.00171386	0.00157444	0	0	0.00171536	0.0015748	0	-0.000139415	0.000139415	-0.000140555	0.000140555										0.0213158	0.00907862	0.015678	0.0102136	0.0156787	0.00907862	0.0156787	0.00907862	0.015678	0.00907862	0.0156787	0.00907862
0.3125		0.00138085	0.000879891	0.00138065	0.000879877	1.38085	0.879891	1.38065	0.879877	0.003269	0.00201891	0.00326932	0.00201893	4.9887	4.9887	4.9887	4.9887	0.0225189	0.008862	0.0225179	0.00886196	5.01122	4.99756	5.01122	4.99756					0.00226074	0.00226053	1	1	1.56316	0.936791	0.117422	0.0612096	0	0	250	0.986466	0.988508	0.989479	0.989479	1.36216	0.869779	1.36613	0.87062	362.27	362.154					0	0.00278353	0.00287494	0	0	0.00278744	0.0028766	0				-0.199828	-0.199944			997.739	997.739			1.21924	1.03218			0.25	1.38085	0.879891	0	0	0	0	0.18355	362.27	0.0573407	362.154	0.0625		0	0.00201581	0.00326738	0	0	0.00201893	0.00326932	0					0	9.14126e-005	-9.14126e-005	0	0	8.91605e-005	-8.91605e-005	0	0	0.00278353	0.00287494	0	0	0.00278744	0.0028766	0	9.14126e-005	-9.14126e-005	8.91605e-005	-8.91605e-005										0.0289797	0.0121778	0.0197182	0.0151594	0.0197202	0.012178	0.0197202	0.012178	0.0197182	0.0121778	0.0197202	0.012178
0.375		0.00160892	0.00113787	0.00160848	0.0011378	1.60892	1.13787	1.60848	1.1378	0.00406463	0.00256369	0.00406541	0.00256379	4.98627	4.98627	4.98627	4.98627	0.0326085	0.0145457	0.0326057	0.0145454	5.01887	5.00081	5.01887	5.00081					0.00274679	0.00274628	1	1	1.87636	1.24914	0.143817	0.089929	0	0	250	0.982267	0.985026	0.986829	0.986829	1.58039	1.12083	1.58729	1.12282	339.715	339.575					0	0.00411514	0.00462076	0	0	0.00412379	0.00462564	0				-0.199752	-0.199892			997.253	997.254			1.36411	1.09632			0.25	1.60892	1.13787	0	0	0	0	0.269853	339.715	0.112334	339.575	0.0625		0	0.00255771	0.00406088	0	0	0.00256379	0.00406541	0					0	0.000505617	-0.000505617	0	0	0.000501845	-0.000501845	0	0	0.00411514	0.00462076	0	0	0.00412379	0.00462564	0	0.000505617	-0.000505617	0.000501845	-0.000501845										0.0386736	0.0154848	0.0245505	0.0210549	0.0245552	0.0154854	0.0245552	0.0154854	0.0245505	0.0154848	0.0245552	0.0154854
0.4375		0.00182386	0.00138034	0.00182298	0.00138015	1.82386	1.38034	1.82298	1.38015	0.00500767	0.00318746	0.00500935	0.00318776	4.98398	4.98398	4.98398	4.98398	0.04552	0.0219283	0.0455135	0.0219274	5.0295	5.00591	5.0295	5.00591					0.00320419	0.00320313	1	1	2.19007	1.56169	0.169131	0.117469	0	0	250	0.977176	0.980829	0.983739	0.983739	1.78223	1.35388	1.79334	1.35771	318.583	318.422					0	0.00579383	0.00690195	0	0	0.00581122	0.00691364	0				-0.199667	-0.199828			996.796	996.797			1.54203	1.19261			0.25	1.82386	1.38034	0	0	0	0	0.37041	318.583	0.183451	318.422	0.0625		0	0.00317669	0.00500019	0	0	0.00318776	0.00500935	0					0	0.00110812	-0.00110812	0	0	0.00110242	-0.00110242	0	0	0.00579383	0.00690195	0	0	0.00581122	0.00691364	0	0.00110812	-0.00110812	0.00110242	-0.00110242										0.0507892	0.0192828	0.0302943	0.0283433	0.0303045	0.0192846	0.0303045	0.0192846	0.0302943	0.0192828	0.0303045	0.0192846
0.5		0.00202688	0.00160852	0.00202531	0.00160809	2.02688	1.60852	2.02531	1.60809	0.0061073	0.0039188	0.00611059	0.00391952	4.98182	4.98182	4.98183	4.98183	0.0616688	0.0314028	0.0616543	0.0314002	5.04349	5.01323	5.04349	5.01323					0.0036354	0.0036334	1	1	2.50449	1.87456	0.193413	0.143886	0	0	250	0.971062	0.975789	0.980139	0.980139	1.96822	1.56958	1.98509	1.57615	298.786	298.607					0	0.00790558	0.00980161	0	0	0.00793824	0.00982639	0				-0.199574	-0.199752			996.365	996.367			1.7503	1.3199			0.25	2.02688	1.60852	0	0	0	0	0.484401	298.786	0.269722	298.607	0.0625		0	0.00390037	0.00609356	0	0	0.00391952	0.00611059	0					0	0.00189603	-0.00189603	0	0	0.00188815	-0.00188815	0	0	0.00790558	0.00980161	0	0	0.00793824	0.00982639	0	0.00189603	-0.00189603	0.00188815	-0.00188815										0.0656516	0.0237509	0.0370149	0.0374206	0.037035	0.0237554	0.037035	0.0237554	0.0370149	0.0237509	0.037035	0.0237554
0.5625		0.0022192	0.00182363	0.00221658	0.00182279	2.2192	1.82363	2.21658	1.82279	0.00736576	0.00477461	0.00737181	0.00477611	4.97979	4.97979	4.9798	4.9798	0.0814001	0.0433596	0.0813709	0.0433535	5.06119	5.02315	5.06117	5.02316					0.00404283	0.00403937	1	1	2.81982	2.18789	0.216709	0.169229	0	0	250	0.96385	0.969817	0.975996	0.975996	2.13898	1.76859	2.16337	1.77904	280.238	280.045					0	0.0105286	0.0133892	0	0	0.0105866	0.0134373	0				-0.199474	-0.199667			995.957	995.961			1.98598	1.47624			0.25	2.2192	1.82363	0	0	0	0	0.611081	280.238	0.370254	280.045	0.0625		0	0.00474432	0.00734203	0	0	0.00477611	0.00737181	0					0	0.00286055	-0.00286055	0	0	0.00285064	-0.00285064	0	0	0.0105286	0.0133892	0	0	0.0105866	0.0134373	0	0.00286055	-0.00286055	0.00285064	-0.00285064										0.0835179	0.0289997	0.0447377	0.0486302	0.0447748	0.0290091	0.0447748	0.0290091	0.0447377	0.0289997	0.0447748	0.0290091
