Time	a	Adopter Fraction[eu,p1]	Adopter Fraction[eu,p2]	Adopter Fraction[sp,p1]	Adopter Fraction[sp,p2]	Adopters[eu,p1]	Adopters[eu,p2]	Adopters[sp,p1]	Adopters[sp,p2]	Adoption Fraction[eu,p1]	Adoption Fraction[eu,p2]	Adoption Fraction[sp,p1]	Adoption Fraction[sp,p2]	Adoption from Advertising[eu,p1]	Adoption from Advertising[eu,p2]	Adoption from Advertising[sp,p1]	Adoption from Advertising[sp,p2]	Adoption from Word of Mouth[eu,p1]	Adoption from Word of Mouth[eu,p2]	Adoption from Word of Mouth[sp,p1]	Adoption from Word of Mouth[sp,p2]	Adoption Rate[eu,p1]	Adoption Rate[eu,p2]	Adoption Rate[sp,p1]	Adoption Rate[sp,p2]	af ref	alpha	beta	c	Combined adopter fraction[eu]	Combined adopter fraction[sp]	Competitive Effort[p1]	Competitive Effort[p2]	Cumulative Adopters[eu,p1]	Cumulative Adopters[eu,p2]	Data per User[p1]	Data per User[p2]	Data Rate from Switchers[p1]	Data Rate from Switchers[p2]	Data REF	Discard Fraction[eu,p1]	Discard Fraction[eu,p2]	Discard Fraction[sp,p1]	Discard Fraction[sp,p2]	Discard Rate[eu,p1]	Discard Rate[eu,p2]	Discard Rate[sp,p1]	Discard Rate[sp,p2]	Expenses[p1]	Expenses[p2]	F0	FINAL TIME	gamma	gamma'	Indicated Switchers[eu,p1,p1]	Indicated Switchers[eu,p1,p2]	Indicated Switchers[eu,p2,p1]	Indicated Switchers[eu,p2,p2]	Indicated Switchers[sp,p1,p1]	Indicated Switchers[sp,p1,p2]	Indicated Switchers[sp,p2,p1]	Indicated Switchers[sp,p2,p2]	Initial Adopters	INITIAL TIME	M ref	MS Gap[eu,p1]	MS Gap[eu,p2]	N	p ref	Potential Adopters[eu]	Potential Adopters[sp]	Q0	qe	Quality[p1]	Quality[p2]	ra	re	Ref Data per User	Resource Accumulation[p1]	Resource Accumulation[p2]	Resource Depletion[p1,dres]	Resource Depletion[p1,fres]	Resource Depletion[p2,dres]	Resource Depletion[p2,fres]	Resources[p1,dres]	Resources[p1,fres]	Resources[p2,dres]	Resources[p2,fres]	SAVEPER	SWITCH DISCARDS	Switch Fraction[eu,p1,p1]	Switch Fraction[eu,p1,p2]	Switch Fraction[eu,p2,p1]	Switch Fraction[eu,p2,p2]	Switch Fraction[sp,p1,p1]	Switch Fraction[sp,p1,p2]	Switch Fraction[sp,p2,p1]	Switch Fraction[sp,p2,p2]	SWITCH FULL CE	SWITCH OPEN	SWITCH SP SWITCHERS	SWITCH USER DATA VALUE	Switcher Net Inflow[eu,p1,p1]	Switcher Net Inflow[eu,p1,p2]	Switcher Net Inflow[eu,p2,p1]	Switcher Net Inflow[eu,p2,p2]	Switcher Net Inflow[sp,p1,p1]	Switcher Net Inflow[sp,p1,p2]	Switcher Net Inflow[sp,p2,p1]	Switcher Net Inflow[sp,p2,p2]	Switchers[eu,p1,p1]	Switchers[eu,p1,p2]	Switchers[eu,p2,p1]	Switchers[eu,p2,p2]	Switchers[sp,p1,p1]	Switchers[sp,p1,p2]	Switchers[sp,p2,p1]	Switchers[sp,p2,p2]	Switching Rate[eu,p1]	Switching Rate[eu,p2]	Switching Rate[sp,p1]	Switching Rate[sp,p2]	T	T ref	T0[p1]	T0[p2]	tau	tau'	theta	TIME STEP	V ref	Value to Adopters[eu,p1,p1]	Value to Adopters[eu,p1,p2]	Value to Adopters[eu,p2,p1]	Value to Adopters[eu,p2,p2]	Value to Adopters[sp,p1,p1]	Value to Adopters[sp,p1,p2]	Value to Adopters[sp,p2,p1]	Value to Adopters[sp,p2,p2]	Value to Non Adopters[eu,p1]	Value to Non Adopters[eu,p2]	Value to Non Adopters[sp,p1]	Value to Non Adopters[sp,p2]
0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0	0	0	0	5	0	5	0	0.5	0.7	4	5	0	0	1	1	0	0	0	0	0	0	250	1	1	1	1	0	0	0	0	500	500	1000	20	0.7	1	0	0	0	0	0	0	0	0	0	0	0.2	-0.2	-0.2	1000	1	1000	1000	1	0	1	1	1	0	0.25	0	0	0	0	0	0	0	500	0	500	0.0625	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0.25	0	0.125	0.5	1	0	0.0625	3	0	0	0	0	0	0	0	0	0	0	0	0
0.0625		0.0003125	0	0.0003125	0	0.3125	0	0.3125	0	0.000951812	0	0.000951812	0	4.99844	0	4.99844	0	0.00148674	0	0.00148674	0	4.99992	0	4.99992	0					0.0003125	0.0003125	1	1	0.3125	0	0	0	0	0	250	0.998098	0.998098	0.998098	0.998098	0.623811	0	0.623811	0	468.75	468.75					0	0	0	0	0	0	0	0				-0.2	-0.2			999.688	999.688			1	1			0.25	0.3125	0	0	0	0	0	0	468.75	0	468.75	0.0625		0	0	0.000951812	0	0	0	0.000951812	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0.00571631	0	0.00571631	0	0.00571631	0	0.00571631	0	0.00571631	0	0.00571631	0
0.125		0.000586007	0	0.000586007	0	0.586007	0	0.586007	0	0.00147727	0	0.00147727	0	4.99707	4.99707	4.99707	4.99707	0.00432592	0	0.00432592	0	5.0014	4.99707	5.0014	4.99707					0.000586007	0.000586007	1	1	0.624995	0	0.0312502	0	0	0	250	0.996682	0.99705	0.99705	0.99705	1.16813	0	1.16856	0	439.473	439.453					0	0	0	0	0	0	0	0				-0.19998	-0.2			999.414	999.414			1	1			0.25	0.586007	0	0	0	0	0	0.0195313	439.473	0	439.453	0.0625		0	0	0.00147727	0	0	0	0.00147727	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0.00998633	0	0.00887673	0	0.00887673	0	0.00887673	0	0.00887673	0	0.00887673	0
0.1875		0.000825586	0.000312317	0.000825559	0.000312317	0.825586	0.312317	0.825559	0.312317	0.00194382	0.000949573	0.00194387	0.000949573	4.99431	4.99431	4.99431	4.99431	0.00801483	0.00148115	0.00801476	0.00148115	5.00233	4.99579	5.00233	4.99579					0.0011379	0.00113788	1	1	0.937582	0.312317	0.0598952	0	0	0	250	0.993307	0.99423	0.99423	0.99423	1.64012	0.62103	1.64159	0.621029	412.042	411.987					0	0.00156718	0.00121418	0	0	0.00156786	0.0012142	0				-0.199945	-0.2			998.862	998.862			1.03662	1			0.25	0.825586	0.312317	0	0	0	0	0.0561567	412.042	0	411.987	0.0625		0	0.000949131	0.00194382	0	0	0.000949573	0.00194387	0					0	-0.000353002	0.000353002	0	0	-0.000353653	0.000353653	0	0	0.00156718	0.00121418	0	0	0.00156786	0.0012142	0	-0.000353002	0.000353002	-0.000353653	0.000353653										0.0144991	0.00571397	0.0116968	0.00571397	0.011697	0.00571397	0.011697	0.00571397	0.0116968	0.00571397	0.011697	0.00571397
0.25		0.0010357	0.000585762	0.00103558	0.000585762	1.0357	0.585762	1.03558	0.585762	0.00243361	0.00147324	0.00243381	0.00147324	4.99189	4.99189	4.99189	4.99189	0.0125821	0.00430785	0.0125816	0.00430785	5.00447	4.9962	5.00447	4.9962					0.00162146	0.00162134	1	1	1.25023	0.624576	0.086189	0.0312529	0	0	250	0.990561	0.991853	0.992216	0.992216	2.05185	1.16198	2.05505	1.1624	386.341	386.258					0	0.00304912	0.00285051	0	0	0.00305133	0.00285126	0				-0.199897	-0.19998			998.379	998.379			1.10854	1			0.25	1.0357	0.585762	0	0	0	0	0.107756	386.341	0.0195198	386.258	0.0625		0	0.00147201	0.00243317	0	0	0.00147324	0.00243381	0					0	-0.000198612	0.000198612	0	0	-0.000200066	0.000200066	0	0	0.00304912	0.00285051	0	0	0.00305133	0.00285126	0	-0.000198612	0.000198612	-0.000200066	0.000200066										0.0197127	0.00887413	0.014659	0.0099835	0.0146601	0.00887413	0.0146601	0.00887413	0.014659	0.00887413	0.0146601	0.00887413
0.3125		0.00122023	0.000825413	0.00121991	0.000825386	1.22023	0.825413	1.21991	0.825386	0.00298826	0.00193126	0.00298881	0.00193131	4.98977	4.98977	4.98977	4.98977	0.0181945	0.00795415	0.0181931	0.00795407	5.00797	4.99773	5.00797	4.99773					0.00204564	0.0020453	1	1	1.56301	0.936851	0.110356	0.0599134	0	0	250	0.987616	0.989298	0.990208	0.990208	2.41024	1.63316	2.41593	1.63461	362.26	362.153					0	0.00470696	0.00493082	0	0	0.00471204	0.00493384	0				-0.199839	-0.199945			997.954	997.955			1.21496	1.03218			0.25	1.22023	0.825413	0	0	0	0	0.172487	362.26	0.0561299	362.153	0.0625		0	0.00192872	0.00298688	0	0	0.00193131	0.00298881	0					0	0.000223857	-0.000223857	0	0	0.000221798	-0.000221798	0	0	0.00470696	0.00493082	0	0	0.00471204	0.00493384	0	0.000223857	-0.000223857	0.000221798	-0.000221798										0.0259719	0.0116449	0.0180182	0.0144356	0.0180215	0.0116451	0.0180215	0.0116451	0.0180182	0.0116449	0.0180215	0.0116451
0.375		0.0013826	0.00103568	0.00138193	0.00103557	1.3826	1.03568	1.38193	1.03557	0.00362904	0.00239954	0.00363027	0.00239973	4.98791	4.98791	4.98791	4.98791	0.0250269	0.0123958	0.0250232	0.0123954	5.01294	5.0003	5.01294	5.00031					0.00241829	0.00241749	1	1	1.87602	1.24921	0.132595	0.0862291	0	0	250	0.984249	0.986392	0.988012	0.988012	2.72165	2.04318	2.73072	2.04631	339.695	339.57					0	0.00662246	0.00751086	0	0	0.00663249	0.00751878	0				-0.199772	-0.199897			997.582	997.583			1.35366	1.09537			0.25	1.3826	1.03568	0	0	0	0	0.248752	339.695	0.107718	339.57	0.0625		0	0.00239493	0.00362604	0	0	0.00239973	0.00363027	0					0	0.000888396	-0.000888396	0	0	0.000886296	-0.000886296	0	0	0.00662246	0.00751086	0	0	0.00663249	0.00751878	0	0.000888396	-0.000888396	0.000886296	-0.000886296										0.033525	0.0144846	0.0219063	0.0194805	0.0219138	0.0144857	0.0219138	0.0144857	0.0219063	0.0144846	0.0219138	0.0144857
0.4375		0.00152586	0.00122045	0.00152462	0.00122014	1.52586	1.22045	1.52462	1.22014	0.00436456	0.00291755	0.00436704	0.00291806	4.98627	4.98627	4.98628	4.98628	0.0332071	0.0177547	0.033199	0.0177533	5.01948	5.00402	5.01947	5.00403					0.00274631	0.00274476	1	1	2.18938	1.56173	0.153086	0.110422	0	0	250	0.980339	0.983026	0.985535	0.985535	2.99172	2.39947	3.00513	2.40498	318.55	318.412					0	0.00887982	0.0106397	0	0	0.00889787	0.0106568	0				-0.1997	-0.199839			997.254	997.255			1.52171	1.18888			0.25	1.52586	1.22045	0	0	0	0	0.335164	318.55	0.172448	318.412	0.0625		0	0.00290977	0.00435894	0	0	0.00291806	0.00436704	0					0	0.00175992	-0.00175992	0	0	0.00175889	-0.00175889	0	0	0.00887982	0.0106397	0	0	0.00889787	0.0106568	0	0.00175992	-0.00175992	0.00175889	-0.00175889										0.0425328	0.0176337	0.0263795	0.0254223	0.0263945	0.0176369	0.0263945	0.0176369	0.0263795	0.0176337	0.0263945	0.0176369
0.5		0.00165271	0.00138312	0.00165063	0.00138247	1.65271	1.38312	1.65063	1.38247	0.00519535	0.00350557	0.00519991	0.00350671	4.98482	4.98482	4.98483	4.98483	0.0428016	0.0241696	0.0427853	0.0241661	5.02762	5.00899	5.02762	5.009					0.00303583	0.00303309	1	1	2.50321	1.87448	0.171991	0.132691	0	0	250	0.975833	0.979136	0.982737	0.982737	3.22553	2.70853	3.24426	2.71721	298.736	298.587					0	0.0115461	0.0143449	0	0	0.0115765	0.0143774	0				-0.199624	-0.199772			996.964	996.967			1.71588	1.31077			0.25	1.65271	1.38312	0	0	0	0	0.43053	298.736	0.248727	298.587	0.0625		0	0.00349308	0.00518571	0	0	0.00350671	0.00519991	0					0	0.00279886	-0.00279886	0	0	0.00280087	-0.00280087	0	0	0.0115461	0.0143449	0	0	0.0115765	0.0143774	0	0.00279886	-0.00279886	0.00280087	-0.00280087										0.0530793	0.021218	0.0314457	0.0324798	0.0314735	0.0212251	0.0314735	0.0212251	0.0314457	0.021218	0.0314735	0.0212251
0.5625		0.00176551	0.00152673	0.00176226	0.00152553	1.76551	1.52673	1.76226	1.52553	0.00611683	0.00417226	0.00612467	0.00417451	4.98354	4.98354	4.98356	4.98356	0.0538189	0.0317446	0.0537889	0.031737	5.03736	5.01528	5.03735	5.0153					0.00329224	0.00328779	1	1	2.81761	2.18754	0.18946	0.153219	0	0	250	0.970723	0.974697	0.979612	0.979612	3.42765	2.97619	3.45266	2.98885	280.168	280.012					0	0.0146644	0.0186298	0	0	0.0147131	0.0186867	0				-0.199544	-0.1997			996.708	996.712			1.93286	1.45847			0.25	1.76551	1.52673	0	0	0	0	0.533825	280.168	0.335172	280.012	0.0625		0	0.00415301	0.00610123	0	0	0.00417451	0.00612467	0					0	0.00396547	-0.00396547	0	0	0.00397359	-0.00397359	0	0	0.0146644	0.0186298	0	0	0.0147131	0.0186867	0	0.00396547	-0.00396547	0.00397359	-0.00397359										0.0651852	0.0252938	0.0370825	0.0407957	0.0371304	0.0253077	0.0371304	0.0253077	0.0370825	0.0252938	0.0371304	0.0253077
