Time	Combined adopter fraction[eu]	Adopter Fraction[eu,p1]	Adopter Fraction[eu,p2]	Adopter Fraction[sp,p1]	Adopter Fraction[sp,p2]
0	0	0	0	0	0
0.0625	0.0003125	0.0003125	0	0.0003125	0
0.125	0.000605501	0.000605501	0	0.000605501	0
0.1875	0.00119268	0.000880368	0.000312311	0.000880368	0.000312311
0.25	0.00174349	0.00113835	0.00060514	0.00113835	0.00060514
0.3125	0.00226055	0.00138067	0.000879877	0.00138065	0.000879877
0.375	0.00274636	0.00160855	0.00113781	0.00160848	0.0011378
0.4375	0.00320337	0.0018232	0.00138017	0.00182298	0.00138015
0.5	0.00363403	0.00202586	0.00160817	0.00202531	0.00160809
0.5625	0.00404079	0.00221779	0.001823	0.00221657	0.00182279
0.625	0.00442616	0.00240027	0.00202589	0.00239786	0.00202537
0.6875	0.00479269	0.00257465	0.00221805	0.00257021	0.00221692
0.75	0.005143	0.00274229	0.00240071	0.00273463	0.00239848
0.8125	0.00547976	0.00290462	0.00257514	0.00289207	0.00257107
0.875	0.00580567	0.00306304	0.00274263	0.00304343	0.00273565
0.9375	0.00612349	0.00321901	0.00290447	0.00318955	0.00289312
1	0.00643596	0.00337397	0.003062	0.00333125	0.00304433
1.0625	0.00674582	0.0035293	0.00321652	0.00346929	0.0031901
1.125	0.00705574	0.0036864	0.00336935	0.00360437	0.00333117
1.1875	0.00736831	0.00384655	0.00352176	0.00373717	0.00346826
1.25	0.00768602	0.00401101	0.00367501	0.00386835	0.00360203
1.3125	0.00801124	0.00418094	0.00383029	0.00399853	0.00373311
1.375	0.00834618	0.00435745	0.00398873	0.00412831	0.00386209
1.4375	0.00869294	0.00454154	0.0041514	0.00425827	0.00398955
1.5	0.00905348	0.00473418	0.00431929	0.00438898	0.00411603
1.5625	0.0094296	0.00493627	0.00449333	0.00452102	0.00424204
1.625	0.00982303	0.00514865	0.00467439	0.00465494	0.0043681
1.6875	0.0102354	0.00537213	0.00486325	0.00479132	0.00449469
1.75	0.0106682	0.0056075	0.00506067	0.00493073	0.00462229
1.8125	0.0111229	0.00585554	0.00526736	0.00507375	0.00475139
1.875	0.011601	0.00611701	0.00548396	0.00522097	0.00488246
1.9375	0.0121038	0.00639269	0.00571114	0.00537302	0.00501597
2	0.0126329	0.00668339	0.0059495	0.00553053	0.0051524
2.0625	0.0131896	0.00698995	0.00619966	0.00569416	0.00529223
2.125	0.0137755	0.00731323	0.00646223	0.00586463	0.00543595
2.1875	0.014392	0.00765417	0.00673782	0.00604265	0.00558406
2.25	0.0150409	0.00801378	0.00702709	0.00622903	0.00573708
2.3125	0.0157238	0.00839314	0.00733067	0.00642459	0.00589555
2.375	0.0164427	0.00879343	0.00764927	0.00663024	0.00606003
2.4375	0.0171996	0.00921595	0.00798361	0.00684695	0.00623109
2.5	0.0179966	0.0096621	0.00833446	0.00707576	0.00640935
2.5625	0.0188361	0.0101334	0.00870266	0.00731783	0.00659547
2.625	0.0197208	0.0106317	0.00908909	0.00757439	0.00679012
2.6875	0.0206536	0.0111588	0.00949472	0.00784683	0.00699404
2.75	0.0216375	0.0117169	0.00992058	0.00813664	0.00720802
2.8125	0.0226762	0.0123084	0.0103678	0.0084455	0.00743289
2.875	0.0237734	0.0129358	0.0108376	0.00877526	0.00766956
2.9375	0.0249335	0.0136021	0.0113314	0.00912798	0.00791901
3	0.0261613	0.0143108	0.0118505	0.00950596	0.00818229
3.0625	0.027462	0.0150654	0.0123966	0.00991178	0.00846055
3.125	0.0288417	0.0158702	0.0129715	0.0103483	0.00875504
3.1875	0.0303069	0.0167299	0.0135769	0.0108189	0.00906712
3.25	0.031865	0.01765	0.014215	0.0113271	0.00939827
3.3125	0.0335244	0.0186364	0.0148881	0.0118772	0.0097501
3.375	0.0352945	0.019696	0.0155985	0.012474	0.0101244
3.4375	0.0371858	0.0208367	0.0163491	0.0131228	0.0105231
3.5	0.0392102	0.0220675	0.0171427	0.0138299	0.0109483
3.5625	0.0413811	0.0233985	0.0179826	0.0146024	0.0114023
3.625	0.0437138	0.0248417	0.0188721	0.0154485	0.0118876
3.6875	0.0462257	0.0264105	0.0198152	0.0163777	0.0124071
3.75	0.0489364	0.0281206	0.0208158	0.0174011	0.0129637
3.8125	0.0518686	0.0299902	0.0218785	0.0185315	0.0135607
3.875	0.0550481	0.0320402	0.0230079	0.0197836	0.0142018
3.9375	0.0585044	0.0342954	0.024209	0.0211752	0.0148907
4	0.0622717	0.0367843	0.0254874	0.0227266	0.0156316
4.0625	0.0658031	0.0392476	0.0265555	0.0241617	0.0161284
4.125	0.0696801	0.0419881	0.0276919	0.0257835	0.0166729
4.1875	0.0739486	0.0450479	0.0289007	0.0276213	0.0172685
4.25	0.0786628	0.048477	0.0301858	0.0297105	0.0179185
4.3125	0.0838858	0.0523347	0.0315511	0.0320931	0.0186265
4.375	0.0896921	0.0566921	0.033	0.03482	0.019396
4.4375	0.0961694	0.0616339	0.0345354	0.0379523	0.0202302
4.5	0.103421	0.0672619	0.0361594	0.0415642	0.0211322
4.5625	0.111571	0.0736981	0.0378726	0.0457459	0.0221045
4.625	0.120763	0.0810889	0.0396741	0.0506073	0.0231486
4.6875	0.131171	0.0896104	0.0415607	0.056282	0.0242653
4.75	0.142999	0.0994731	0.0435264	0.0629337	0.0254535
4.8125	0.15649	0.110928	0.0455617	0.0707615	0.0267103
4.875	0.171925	0.124272	0.0476533	0.0800081	0.0280304
4.9375	0.189636	0.139853	0.0497831	0.0909672	0.0294056
5	0.21	0.158071	0.0519286	0.103992	0.0308243
5.0625	0.233436	0.179374	0.0540623	0.1195	0.0322712
5.125	0.2604	0.204247	0.0561527	0.137978	0.0337272
