Time	Combined adopter fraction[eu]	Adopter Fraction[eu,p1]	Adopter Fraction[eu,p2]	Adopter Fraction[sp,p1]	Adopter Fraction[sp,p2]
0	0	0	0	0	0
0.0625	0.0003125	0.0003125	0	0.0003125	0.0003125
0.125	0.000605538	0.00060552	1.85724e-008	0.000605501	0.000605501
0.1875	0.00119285	0.000880463	0.000312392	0.00119268	0.00119268
0.25	0.00174434	0.0011388	0.000605539	0.00174349	0.00174349
0.3125	0.0022629	0.00138194	0.000880961	0.00226053	0.00226053
0.375	0.00275138	0.00161129	0.00114009	0.00274628	0.00274628
0.4375	0.00321266	0.0018283	0.00138436	0.00320314	0.00320314
0.5	0.00364966	0.00203446	0.0016152	0.00363342	0.00363342
0.5625	0.00406541	0.00223131	0.0018341	0.00403942	0.00403942
0.625	0.00446296	0.0024204	0.00204257	0.00442334	0.00442334
0.6875	0.0048454	0.00260329	0.00224211	0.00478735	0.00478735
0.75	0.00521576	0.00278151	0.00243425	0.00513351	0.00513351
0.8125	0.005577	0.00295655	0.00262045	0.00546382	0.00546382
0.875	0.00593198	0.00312983	0.00280215	0.00578018	0.00578018
0.9375	0.0062834	0.00330269	0.00298071	0.00608441	0.00608441
1	0.00663383	0.0034764	0.00315742	0.00637823	0.00637823
1.0625	0.00698564	0.00365215	0.00333349	0.00666327	0.00666327
1.125	0.00734107	0.00383103	0.00351003	0.00694108	0.00694108
1.1875	0.00770219	0.00401408	0.0036881	0.00721314	0.00721314
1.25	0.00807094	0.00420227	0.00386867	0.00748084	0.00748084
1.3125	0.00844914	0.0043965	0.00405264	0.00774552	0.00774552
1.375	0.00883854	0.00459766	0.00424088	0.00800847	0.00800847
1.4375	0.00924077	0.00480658	0.00443419	0.00827091	0.00827091
1.5	0.00965747	0.00502411	0.00463336	0.00853405	0.00853405
1.5625	0.0100902	0.00525106	0.00483914	0.00879905	0.00879905
1.625	0.0105406	0.00548827	0.00505229	0.00906706	0.00906706
1.6875	0.0110102	0.0057366	0.00527356	0.00933922	0.00933922
1.75	0.0115006	0.00599691	0.00550369	0.00961665	0.00961665
1.8125	0.0120136	0.00627014	0.00574348	0.0099005	0.0099005
1.875	0.012551	0.00655726	0.00599372	0.0101919	0.0101919
1.9375	0.0131146	0.0068593	0.00625526	0.0104921	0.0104921
2	0.0137064	0.00717738	0.006529	0.0108023	0.0108023
2.0625	0.0143286	0.00751268	0.00681588	0.0111237	0.0111237
2.125	0.0149834	0.0078665	0.00711692	0.0114577	0.0114577
2.1875	0.0156734	0.00824024	0.0074332	0.0118058	0.0118058
2.25	0.0164013	0.00863543	0.00776592	0.0121693	0.0121693
2.3125	0.0171701	0.00905374	0.00811635	0.0125499	0.0125499
2.375	0.0179829	0.00949701	0.00848589	0.0129494	0.0129494
2.4375	0.0188433	0.00996725	0.00887607	0.0133695	0.0133695
2.5	0.0197552	0.0104667	0.00928855	0.0138124	0.0138124
2.5625	0.0207229	0.0109977	0.00972517	0.0142802	0.0142802
2.625	0.0217511	0.0115632	0.0101879	0.0147754	0.0147754
2.6875	0.022845	0.0121659	0.0106791	0.0153006	0.0153006
2.75	0.0240103	0.0128093	0.011201	0.0158589	0.0158589
2.8125	0.0252536	0.0134971	0.0117566	0.0164534	0.0164534
2.875	0.0265819	0.0142333	0.0123486	0.0170879	0.0170879
2.9375	0.0280031	0.0150226	0.0129805	0.0177663	0.0177663
3	0.0295262	0.0158701	0.0136561	0.0184933	0.0184933
3.0625	0.0311608	0.0167815	0.0143793	0.0192739	0.0192739
3.125	0.0329182	0.0177634	0.0151549	0.0201139	0.0201139
3.1875	0.0348107	0.0188228	0.0159879	0.0210195	0.0210195
3.25	0.0368522	0.019968	0.0168842	0.0219983	0.0219983
3.3125	0.0390583	0.0212082	0.0178501	0.0230582	0.0230582
