Time	Combined adopter fraction[eu]	Adopter Fraction[eu,p1]	Adopter Fraction[eu,p2]	Adopter Fraction[sp,p1]	Adopter Fraction[sp,p2]
0	0	0	0	0	0
0.0625	0.0003125	0.0003125	0	0.0003125	0
0.125	0.000605501	0.000605501	0	0.000605501	0
0.1875	0.00119268	0.000880368	0.000312311	0.000880368	0.000312311
0.25	0.00174349	0.00113835	0.000605141	0.00113835	0.00060514
0.3125	0.00226056	0.00138068	0.000879883	0.00138065	0.000879877
0.375	0.00274641	0.00160858	0.00113783	0.00160848	0.0011378
0.4375	0.00320354	0.00182329	0.00138025	0.00182298	0.00138015
0.5	0.00363449	0.00202609	0.0016084	0.00202531	0.00160809
0.5625	0.00404189	0.00221833	0.00182356	0.00221657	0.00182279
0.625	0.00442851	0.00240142	0.00202708	0.00239786	0.00202537
0.6875	0.00479727	0.0025769	0.00222037	0.00257022	0.00221692
0.75	0.00515129	0.00274636	0.00240493	0.00273465	0.00239849
0.8125	0.00549387	0.00291152	0.00258235	0.0028921	0.0025711
0.875	0.00582845	0.00307416	0.00275429	0.00304349	0.0027357
0.9375	0.00615856	0.00323608	0.00292248	0.00318968	0.00289322
1	0.00648777	0.0033991	0.00308867	0.00333149	0.00304452
1.0625	0.00681958	0.003565	0.00325458	0.00346969	0.00319042
1.125	0.00715734	0.00373545	0.00342189	0.00360504	0.00333172
1.1875	0.00750422	0.00391205	0.00359217	0.00373825	0.00346914
1.25	0.00786312	0.00409625	0.00376687	0.00387002	0.0036034
1.3125	0.00823665	0.00428936	0.00394729	0.00400101	0.00373518
1.375	0.00862715	0.00449258	0.00413457	0.0041319	0.00386512
1.4375	0.00903669	0.00470698	0.00432971	0.00426333	0.00399386
1.5	0.00946706	0.00493351	0.00453355	0.00439596	0.00412199
1.5625	0.00991986	0.00517304	0.00474683	0.00453042	0.00425012
1.625	0.0103965	0.00542638	0.00497015	0.00466738	0.00437881
1.6875	0.0108983	0.00569427	0.00520406	0.00480748	0.00450864
1.75	0.0114265	0.00597746	0.00544903	0.0049514	0.00464015
1.8125	0.0119822	0.00627664	0.00570551	0.00509982	0.0047739
1.875	0.0125664	0.00659254	0.00597391	0.00525344	0.00491044
1.9375	0.0131805	0.00692591	0.00625464	0.00541298	0.0050503
2	0.0138257	0.00727754	0.00654811	0.00557921	0.00519404
2.0625	0.0145031	0.00764828	0.00685478	0.0057529	0.0053422
2.125	0.0152142	0.00803905	0.00717512	0.00593491	0.00549536
2.1875	0.0159605	0.00845087	0.00750964	0.00612611	0.00565409
2.25	0.0167438	0.00888488	0.00785892	0.00632745	0.00581898
2.3125	0.0175659	0.00934232	0.00822358	0.00653995	0.00599064
2.375	0.0184289	0.0098246	0.0086043	0.00676469	0.00616973
2.4375	0.0193352	0.0103333	0.00900187	0.00700289	0.0063569
2.5	0.0202873	0.0108702	0.0094171	0.00725582	0.00655288
2.5625	0.0212881	0.0114372	0.00985093	0.00752492	0.00675841
2.625	0.022341	0.0120366	0.0103044	0.00781175	0.00697429
2.6875	0.0234495	0.0126709	0.0107786	0.00811805	0.0072014
2.75	0.0246177	0.0133429	0.0112748	0.00844575	0.00744065
2.8125	0.0258501	0.0140558	0.0117943	0.00879699	0.00769304
2.875	0.0271518	0.0148131	0.0123386	0.00917418	0.00795964
2.9375	0.0285283	0.0156189	0.0129094	0.00958	0.00824163
3	0.0299861	0.0164778	0.0135083	0.0100175	0.00854027
3.0625	0.0315323	0.0173948	0.0141375	0.0104901	0.00885695
3.125	0.0331748	0.0183759	0.0147989	0.0110017	0.00919317
3.1875	0.0349225	0.0194276	0.0154949	0.0115567	0.00955058
3.25	0.0367857	0.0205576	0.0162281	0.0121602	0.00993097
3.3125	0.0387757	0.0217746	0.0170011	0.0128179	0.0103363
3.375	0.0409053	0.0230883	0.017817	0.0135365	0.0107687
3.4375	0.0431893	0.0245102	0.0186791	0.0143236	0.0112306
3.5	0.0456442	0.0260534	0.0195908	0.015188	0.0117244
3.5625	0.0482889	0.0277329	0.020556	0.0161399	0.0122531
3.625	0.051145	0.0295663	0.0215787	0.0171913	0.0128195
3.6875	0.0542372	0.0315738	0.0226634	0.018356	0.013427
3.75	0.0575938	0.0337792	0.0238147	0.0196503	0.0140791
3.8125	0.0612475	0.0362101	0.0250374	0.0210933	0.0147797
3.875	0.0652359	0.038899	0.0263369	0.0227076	0.0155329
3.9375	0.0696025	0.0418842	0.0277183	0.02452	0.0163428
4	0.0743978	0.0452107	0.029187	0.0265621	0.0172141
4.0625	0.079102	0.0486428	0.0304592	0.028573	0.0178527
4.125	0.0843091	0.0525024	0.0318068	0.0308682	0.018548
4.1875	0.0900929	0.0568602	0.0332327	0.033497	0.0193032
4.25	0.0965405	0.0618012	0.0347393	0.036519	0.0201214
4.3125	0.103755	0.067427	0.0363277	0.0400066	0.0210051
4.375	0.111858	0.07386	0.0379976	0.044048	0.0219566
4.4375	0.120994	0.0812475	0.0397467	0.0487505	0.0229769
4.5	0.131337	0.0897665	0.0415701	0.0542455	0.0240661
4.5625	0.143089	0.0996297	0.0434595	0.0606937	0.0252227
4.625	0.156494	0.111091	0.0454027	0.0682918	0.0264432
4.6875	0.171837	0.124454	0.0473828	0.0772798	0.0277214
4.75	0.189449	0.140072	0.0493772	0.0879498	0.0290483
4.8125	0.209714	0.158357	0.0513576	0.100654	0.0304114
4.875	0.233061	0.179772	0.0532895	0.115813	0.0317944
4.9375	0.259955	0.204822	0.055133	0.133918	0.0331774
5	0.290872	0.234028	0.0568435	0.155532	0.0345366
5.0625	0.326253	0.267879	0.0583737	0.181271	0.0358451
5.125	0.366435	0.306759	0.0596764	0.211771	0.0370744
